title,number
"M.S.""PIRAN""　Splosna Plovba　Piran, Yugoslavia　Builder:The Hakodate Dock Co.,Ltd., Tokyo, Japan　Launching:February 24th,1959",pc000878-0001
[ペリー提督日本遠征記　挿絵],pc010404
[SHOHOMARU　翔鳳丸],pc002702-0001
[箱館奉行所庁舎],pc020229-0001
第二回文部省美術展覧会出品　（巌　イハオ）　前田政雄作,pc003163
[榎本武揚],pc000799
箱館府知事　清水谷公孝,pc010900
[高田屋　鶴の松],pc010287
[塚本慶十郎],pc002048-0001
藤沢誠太,pc002006-0001
[ブラキストン像],pc000852-0001
[フォーリー],pc002778-0001
北海道図書発行所　書籍卸商　小島大盛堂　函館地蔵町,pc000360-0001
[元町（相生町）五島軒の向ひの教会　クリスマス],pc002024-0001
恵山はまねく　南北海道の旅行には道立自然公園へ！　恵山と郷土博物館,pc002592-0001
近日開場　松旭斎天勝一行　当ル十四日より開演　錦座　英雄船アルゴウ,pc002385-0001
勉強家で末頼母敷、少年諸君と少女諸君へ　二十間阪際の玩具店トモエヤ,pc002831-0001
御料理　小林亭　[函毎緑叢会発会式紀念],pc001290-0001
樺太露領沿海州堪察加地方向　磚茶　紅茶　珈琲　角砂糖　取揃着荷　函館大町常野本店　同エビス町常野支店,pc000680
（函館美人）　東見番　桃太郎,pc020252-0001
朝日蝋燭　愛国人士の愛し給ふは此章票　大阪光明社,pc020476-0001
帝国美術院第十五回美術展覧会出品　（平和工作の響）（特選）　梁川剛一作,pc003109
函館中学校野外演習　（柏野競馬場ニ於ケル）,pc000298-0001
[函中卒業生],pc000224-0001
[函中卒業生],pc002700-0001
[函中卒業生],pc000461-0001
[函中卒業生],pc002392
[函中卒業生],pc000470-0001
[函館商船学校々友会海上運動会紀念章入り絵葉書],pc010329-0001
日本銀行函館支店経済研究会第一回講演会　大正八年十二月十三日　於岡野邸,pc003161
湯の川温泉　福住の玄関　,pc000629-0001
函館市郊外根崎　ニコニコ旅館　前景,pc020036-0001
函館　小川合名会社　北征丸　総噸1257噸　重噸1837噸,pc002103-0001
”TESTA DI VERGINE”　Pietro Vannucci　（detto”Perugino”）　1445-1523　”少年の家”落成記念,pc010370-0001
出征後備歩兵第八旅団　醍醐連隊一中隊二小隊　阿部藤治郎,pc002980-0001
"SHIDE, ISLAE OF WIGHT, ENGLAND.　[ミルン夫妻]",pc010509-0001
北海道及樺太航路　日本郵船株式会社　汽船上川丸氷上荷役　（大泊全景）,pc002500-0001
日本郵船株式会社樺太航路汽船上川丸　日本郵船株式会社北海道沿岸及樺太航路,pc000805
東北海道産業共進会第一会場,pc002001-0001
定山渓姥ヶ淵付近の静流　Jozanke Ubagafuchi,pc020365-0001
（北海道定山渓温泉場）　鹿の湯クラブ全景,pc021258-0001
（定山渓温泉名所）　月見橋とホテルを望む　The View of Jozankey Hot Spring at Hokkaido　,pc010144-0001
定山渓温泉見返リ坂ノ眺望　Jozankei Hot Spring;,pc020349-0001
"北海道名山蝦夷富士の眺望　View of Mount Yezo Fuji, Hokkaido．[羊蹄山]",pc000455-0001
半月湖白樺の岩,pc002256
北鉄倶知安ヨリ羊蹄山ヲ望ム,pc001027-0001
倶知安風景　定山渓道より蝦夷富士の遠望　Distant of Ezofuji From Teisan Kuchan.,pc000480
"（北海道）後方羊蹄山ト知別川（一名蝦夷富士）其三　MOUNT SHIR BESHI, THE TEZO-FUJI.",pc010444-0001
北海道、羊蹄山山頂右ナル建物ハ宿泊所六月初夏ニ未ダ残雪アリ〔俗ニ蝦夷富士〕,pc010388-0001
蝦夷富士　THE MOUNT YEZOFUJI.　（後志 SHIRIBESHI）,pc010107-0001
寿都市街の景　View Of Shuttsu,pc001208
"北海道寿都町まぐろ漁各地へ輸出ノ景　EXPORTING THYNNUS SILI FROM SUTSU, HOKKAIDO.",pc000954-0001
磯谷島古丹鰊差網ノ景,pc020188
（北海道）　岩内停車場,pc001238
（北海道登別温泉場）　市街全景,pc003100-0001
（北海道登別温泉場）　万寿湯,pc010499-0001
北海道登別温泉湯滝より湯沢神社を望む,pc020042-0001
北海道登別温泉大湯沼　VIEW OF OYUNUMA,pc000153
ワツカタサツプ橋ヨリ蝦夷富士ヲ望ム,pc010351-0001
（北海道）　登別温泉場湯の滝,pc021271-0001
登別温泉高砂橋より大川湯万寿湯付近の景　Noboribetsu Hokkaido Hot Spring.,pc003028-0001
第一滝本館全景　地獄谷,pc002104
（北海道の泉都登別温泉）　開祖第一滝本館　日光浴場　THE FAMOUS PLACE AT NOBORIBETSU HOT SPRING.　,pc002470
登別温泉　かちどきの滝　Hokkaido Noboribetsu Hot Spring.,pc010489-0001
北海道登別温泉　紅葉谷　Hokkaido Noboribetsu Hot Sprmg.,pc000857
（北海道の泉都登別温泉）　開祖第一滝本館の一部　THE FAMOUS PLACE AT NOBORIBETSU HOT SPRING.　,pc001203-0001
羽衣の滝,pc002341
（旭川新景）　旭川区師団道路ニ於ケル石狩川上流ニ架セル旭橋,pc010302
旭川回顧歴史　（其三）　明治二十五年当時の旭川　現時の旭川市街の一部,pc002214-0001
"Officers Assembly Hall, 7th Army Division, Asahigawa.　旭川偕行社（旭川）",pc010455-0001
旭川嘉美の温泉場雪景,pc010810
神居古潭絶景其八,pc000718
旭川神居古潭絶景　（其一）　View of Kamiikotan No1 Asahikawa,pc001009
（旭川名所）　石狩川ノ清流,pc010010
増毛暑寒橋及市街ノ全景,pc000176-0001
鳥崎より森駅を望む,pc002597-0001
（八雲名所）　徳川農場　真萩館ノ景,pc002146-0001
八雲町市街　（其五）,pc020418-0001
北鉄沿線噴火湾の景,pc000159
北鉄沿線野田追より駒ヶ岳を望む,pc010011-0001
（北海道）　福山　法源寺　（曹洞宗）,pc002655-0001
（北海道）　松前福山公園境内,pc002790-0001
（福山）　法華寺,pc001375
福山公園内　葦陽館　清風楼,pc010150-0001
追分踊,pc000615
盲目の老酋長　第一回文部省美術展覧会出品　上野山清貢氏筆,pc000346
日本郵船株式会社　北海道及樺太航路,pc002637-0001
日本郵船株式会社　北海道及樺太航路,pc010478-0001
日本郵船会社北海道及樺太航路弘前丸,pc001266
北日本汽船株式会社　京城丸,pc000949
茅部郡鹿部村新湯之全景,pc002455-0001
"旅館山形屋　（札幌）　The Yamagataya Hotel, at Sapporo.　",pc002626-0001
夕張炭山福住方面（元移住民長屋方面）　CARBONIC MOUNTAIN YUBARI,pc000180
茅部郡鹿部村新湯ヨリ駒ヶ岳ヲ望ム,pc001243
北見国境山頂ヨリ展望セル　国立公園予定地釧路屈斜路湖大観　（其一）～（其四）,pc001206
国立公園として発展しつつ有る弟子屈全景　（其の一）～（其の三）,pc000702-0001
（開道五十年博覧会記念）　札幌北海タイムス社主催児童博覧会々場,pc020104-0001
XXXV ANNVALATHLETIC-SPORTS HOKKAIDO-DAIGAKU,pc003060-0001
北海道庁　HOKKAIDO ADMINISTRATION BUILDING.　（SAPPORO　札幌）,pc000280-0001
新築落成の北海道庁,pc021381
森付近姫川之鉄橋,pc001599-0001
初春の岩内港　Spring of Iwanai Port,pc000882-0001
北海道博覧会々場本部　青山休憩所　仙台市青山染工場,pc002743
ニセコ山の家休憩記念券,pc002549-0001
空知会館　〔館内に道内有数の図書館を付属せり〕　（岩見沢名所）　THE FINE VIEW OF THE IWAMIZAWA TOWNWHERE NUMBER OF THE ONE OF THE HOKKIDO. （IWAMIZAWA）,pc010219-0001
北海道函館本線昆布青山温泉　指定旅館　不老閣,pc010874
（北海道）　福山弁天崎燈台,pc010304-0001
"（釧路・阿寒国立公園）　天空に万古の凄惨味を残す雌阿寒の巨姿　DREADFUL SCENE OF THE SUMMIT OF MT.ME-AKAN, NATIONAL PARK AKAN.",pc001227
"東北帝国大学農科大学　牛の放牧（札幌）　Cattle Grazing, Tohoku Agricultural College Farm, Sapporo.",pc010049-0001
"東北帝国大学農科大学　牛の放牧　Cattle breeding Hokkaido, Agricultural College farm, Sapporo.",pc001300-0001
北海道帝国大学　医学部付属医院病室,pc001061
北海道帝国大学付属博物館　View of Sapporo ■,pc010120-0001
"（札幌）　中島公園[中島公園]物産陳列場　Sapporo, Nakashima-park.　",pc000351-0001
夕日のかがやき　THE NAKAZIMA PARK.(SAPPORO)　中島公園　（札幌）,pc010109-0001
札幌付近玉葱ノ収穫　Crop of Onions Near Sapporo,pc020093-0001
北海道博覧会　土木交通機械館,pc002571-0001
"東北帝国大学（札幌）　動物学講堂　BIOLOGICAL HALL, THE TOHOKU IMPERIAL UNIVERSITY, SAPPORO",pc001113
（北海道）　札幌区ビール会社前通　BEER BREWERY SAPPORO.,pc003191
院長橋本博士　[創成病院],pc000041-0001
札幌郡軽川駅　北海道造林合資会社　落葉松植樹地ノ一部,pc021378
定山渓名勝　錦橋一名猿橋の絶景,pc000227-0001
（札幌）　開道五十年記念北海道博覧会　第一会場　園芸館及農業別館を望む,pc000974-0001
福山新風景　福山公園は明治十二年八月起工十五年八月竣功面積八千坪幾百年の老松新緑桜花匂ふ優雅なる風景は実に昔松前城主の庭園を偲ぶ,pc002438-0001
まつまえ　さくらとお城の名所,pc000083-0001
（江差）　正調追分踊,pc002999-0001
（北海道福山）　白神岬燈台,pc010003-0001
北海道定期航空路　北海第一号機,pc001103
帯広町西二条通,pc010234
小泉北海館　（表本館ヨリ裏新館ヲ望ム）　帯広駅正面,pc020375-0001
"（釧路名所）　春採湖　Lake Harutori, a Noted Place in Kushiro.",pc003183
釧路幣舞橋　THE KUSHIRO NUSAMAI BRIDGE.,pc002515-0001
"釧路大阪炭山採炭運搬ノ光景　OSAKA COAL MINE, KUSHIRO.",pc001192
中央ヨリ見タル釧路全景（五枚続）　（No.5）　PANORAMA OF KUSHIRO FROM THE CENTRE.,pc002349-0001
"根室支庁前庭ヨリ港ヲ望ム　Minatoonozomu Shichiyo, Nemuro,　(27)",pc003133
根室国春別松橋牧場,pc000707
"札幌博物館の雪景色　Snow view of Museum, Sapporo.",pc001080-0001
（洞爺湖八景）　湖畔の並木　（K 57）,pc002219-0001
（北海道登別温泉）　倶多楽湖　THE FAMOUS PLACE AT NOBORIBETSU HOT SPRING.,pc003189
皇太子殿下行啓札幌御出発当時停車場通の光景,pc010265-0001
"室蘭穴岩ノ奇景　FANNY VIEW OF ANIWA, MURORAN.",pc000741-0001
第七師団凱旋室蘭上陸光景,pc002259-0001
"北海道洞爺湖畔ヨリ有珠山ノ大噴火ヲ望ム　Usu volcano from Doya-lake, Hokkaido. 4",pc000302-0001
中央駅通リ　大泉旅館　五階観望台ヨリ桟橋ヲ望ム　五階観望台ヨリ小樽公園ヲ望ム,pc000108
北海道石川農場雪中牡牛放牧,pc000932
株式会社北海道拓殖銀行　THE HOKKAIDO COLONIZATION BANK.,pc010913
（北海道）　小樽高等商業学校　（本館）　THE OTARU HIGHER COMMECAL SCHOOL.,pc002335-0001
Otaru Park And Public hall　[小樽公園],pc002464-0001
小樽手宮郵船会社前通,pc010183-0001
小樽港の壮観　（其三）,pc000976-0001
小樽量徳小学校　Ryotoku Primary-Schoolat Otare,pc002212-0001
（北海道）　小樽港第一防波堤　（其一）　OTARU HOKKAIDO,pc020014
（小樽港）　公園植物　VIEW OF OTARU PARK PLANTS,pc000403
（小樽）　開道五十年記念北海道博覧会　水族館　（第三会場）,pc020464
小樽区色内町　VIEW OF IRONAI STREET STARE,pc000775
旧土人ノ婦人ト熊　Custom of Natives,pc000137
開道五十年記念北海道博覧会第三会場実況,pc002516-0001
アイヌ熊まつり　斎藤咀華氏筆　N・A・G,pc020046
北海道土人アイヌ風俗　Munners of Ainu aborigine.,pc002350
（北海道土人風俗）アイヌ宝物　PRECIOUS THINGS OF AINU,pc000777-0001
北海道土人風俗,pc000370
北海道アイヌ風俗　Ho k edo ae   H goku,pc002108-0001
北海道土人風俗　The Customs of Ainu.　（9）,pc010095-0001
北海道土人之風俗　（日高国平取村）,pc002574
（北海道）　土人風俗正装,pc000947
（北海道）　土人風俗正装,pc000154
（北海道）　アイヌ風俗　盛装,pc002593-0001
丸木舟にて釣する（アイヌ）人,pc010237
[アイヌ女性],pc010199
北見アイヌ人,pc002209-0001
（北海道）　土人アイヌノ酒宴,pc002960
北海道土人の武器と礼具,pc020033
十勝伏古別旧土人学校,pc020194-0001
"国立公園・定山渓温泉（北海道）　新装の月見橋と豊平川に沿える温泉旅館　Impressive sight of Tsukimi Bridge National Park, Jozankei Hot Spring （Hokkaido）",pc002565-0001
"（札幌）　北海道庁構内のポプラ並木　■ and Pond, Hokkaido Government, Sapporo",pc002085-0001
札幌市外琴似　（其八）　琴似開村五十年記念塔及記念館,pc010195
"（札幌名所）　札幌狸小路　Street Tanukikoji in Sapporo.（A famous place, Sapporo.）",pc020389-0001
"冬の豊平川　（札幌）　The River in Winter Toyohira, Sapporo.",pc020249-0001
（札幌）　西の宮,pc010467-0001
"中島公園[中島公園]　札幌　A scenery in Sapporo, Hokkaodo..",pc000431
札幌停車場通五番館,pc020189-0001
"札幌農科大学植物園　Botanic Garden, Sapporo.",pc020330-0001
札幌市大通　（右より永山将軍銅像　逓信局　北海タイムス社）,pc020041
"（北海道）　札幌中島公園地の夕陽　THE NAKANOSHIMA PARK, SAPPORO",pc001418
（札幌）中島公園〔其六〕暮の眺め　The evening scenery.The Nakajima Park.(No.6),pc020117-0001
札幌創世川畔の景　Sapporo sosekawa no ke.,pc002076-0001
財団法人　小樽盲学校,pc002614
（北海道）　アイヌの宝物　Hokkaido Inu Takara.,pc001063
"（北海道アイヌ風俗）　正座して威儀を正す酋長の夫妻　A COUPLE OF THE CHIEF, ABORIGINES CUSTOM, HOKKAIDO.",pc001385
（北海道）　小樽高等商業学校全景　THE HIGHEZ OCMMECIAL SCHOOL OTARU.,pc020029
北海道上磯郡　ユートピヤ　和楽園知内温泉旅館全景,pc021264
旭川市全景　（其二）　THE PANORAMA AT ASAHIKAWA,pc002353-0001
（江差名所）　江差町全景　（其ノ三）,pc000191-0001
安政年間福山城真景,pc010005-0001
（阿寒国立公園）　National Park Akan　横断道路　双岳台　太古ながらの処女林で北海道の原始時代を想現する双岳台の展望、遠く雄雌阿寒を望む。,pc002422-0001
Pasture of Horses at Makomanai in Hokkaido.　真駒内種畜牧場馬の放牧,pc002436-0001
昭和十一年十月陸軍特別大演習並地方行幸記念　北海製缶会社　小樽高等商業学校,pc002064-0001
（小樽港）　色内町越中屋旅館　ECCHUYA HOTEL IRONAI STREET AT OTARU,pc001198-0001
（小樽港）　停車場構内　VIEW OF OTARU STATION,pc002719-0001
"忍路　（追分節によりて其名天下に高し）　Oshoro Scaport, Hokkaido.",pc000927
小樽開陽亭大広間,pc000809-0001
（小樽区）　中学校　Otaru Middle School.,pc010235-0001
（小樽港）　区役所　Otaru District Office.,pc010277
（北海道）　小樽港桟橋　VIEW OF OTARU PORT.,pc000804-0001
（北海道）　東宮殿下御旅館奥庭　（小樽花園公園公園会堂）,pc002391
小樽開陽亭　（松風の間より水天宮山展望）,pc010475-0001
（北海道）　小樽港全景　（最新撮影）　WHOLE VIEW OF OTARU.,pc001199
（北海道）　小樽郵便局　The Post Office of Otaru,pc020355-0001
（北海道）　小樽公園　（其二）　The Park Of Otaru （No.2）,pc001055
（北海道）　日本銀行小樽支店　THE NIHON BANK AT OTARU,pc002641-0001
小樽港全景（其三）　View of Otaru No.3,pc010427-0001
（旭川ノ雪景色）　一条通ノ光景,pc000719
（旭川名所）　中島の景　The Veiw of Asahikawa,pc000163
旭川離宮御予定地,pc021043
神居古潭の絶景,pc000275
（旭川名所）　騎兵第七連隊営門　ASAHIKAWA,pc010692-0001
丹頂鶴（釧路）　上野山清貢筆,pc000123
阿寒風景　（阿寒湖中の十九列島）　VIEW OF AKAN.,pc002586-0001
釧路市街全景　（其四）　VIEW OF STREET PORT KUSHIRO.,pc003024-0001
"View of Odori st, and Sapporo Post Office, Hokkaido.[大通り・札幌郵便局]",pc010009-0001
（定山渓名勝）　ホテル千人風呂,pc000028
北海道帝国大学農科　■ltiural Department of the Imperial University.,pc003186
（北海道）　札幌ステーシヨン　,pc002249
"札幌中島公園地　（其二）　The Nakajima Park, Sapporo.",pc002005-0001
（札幌区）博物館内花室　MEUSEUM AT SAPPORO.,pc001519
定山渓道路鷲ズ岩ヨリ蝦夷富士ヲ望ム,pc010410-0001
（札幌）　東北帝国大学農科大学校庭,pc000914
北海道帝国大学　理学部,pc002062-0001
札幌農科大学付属博物館構内　MUSEUM GROUND SAPPORO.,pc020324-0001
（札幌区）　停車場　Station At Sapporo.,pc000385-0001
札幌中島公園　B-0207 NAKASHIMA PARK Sapporo,pc000838-0001
札幌本府　勅賜東本願寺管刹地所　明治三年庚午七月,pc001429-0001
[滝壺で釣りをする人],pc021256
[アイヌ肖像],pc002161-0001
従六位勲六等　阿部勇吉　八十歳紀念,pc000663-0001
北海道館＝竣工　大連市羽衣町一四　（昭和十年十一月）　タイレン　福泉生,pc002032-0001
"（札幌）　森厳崇高の気漲る札幌神社　SAPPRO SHRINE OF SACRED ATMOSPERE, SAPPORO.",pc001115
（定山渓名勝）　炭酸水付近の山水（奥千丈方面）,pc020319-0001
"札幌創成橋付近ヨリ南部展望　Panprama of Soseigawa Street, Sapporo.",pc001136-0001
北海道根室港・二美善旅館　外観全景　座敷の一部,pc002168-0001
"札幌中島公園　Nakajima Park, Sapporo.",pc001228
（洞爺湖名勝）　向洞爺より仰ぐ有珠岳,pc010239-0001
室蘭炭砿気船会社及税関　Muroran at Hokkaido.,pc010867
"室蘭港母恋製鋼所全景（其一）　WHOLE VIEW OF BOKOI MAKE IRON PLACE, MURORAN PORT.",pc002625-0001
名寄町高台公園,pc002241-0001
室蘭港本輪西栗林埠頭　繋船岸壁,pc002111-0001
網走南通中央　（北見国）　The Minamidori Abashiri,pc020428-0001
網走桂ヶ岡公園　View of the Abashiri.　（北見国）,pc010096-0001
北見国網走港帽子岩遠望　FAMOUS PLACES AT HOKKAIDO.,pc010601
恭賀新年　明治四十一年略歴付　合名会社三忠支店　小樽区港町三十番地　大熊又一,pc001518
"MT.HEKIUN, JOZANKEI SPA.　北海道・定山渓温泉　碧雲峡",pc002172
（弘前旧城）,pc010447-0001
右京太夫津軽為信朝臣銅像及岩木山ノ遠望,pc010436-0001
"弘前旧津軽城中ノ老松蓊鬱トシテ松籟起ル　PINE AT OLD OASTLE, HIROSAKI",pc021051
弘前城,pc000171-0001
弘前市浜の町橋より岩木山を望む,pc000853-0001
弘前■ヶ岳城ノ旧形,pc002331-0001
弘前商業会議所付属弘前物産陳列館内部　其一）,pc000612
弘前新坂町ヨリ岩木山ヲ望ム　,pc002251-0001
土淵川の上流　弘前住吉神社通リ,pc020621-0001
弘前市土手町　■は呉服本店,pc002301-0001
弘前公園本丸鷹揚場園碑,pc010200
（大鰐蔵館両温泉場名所）　名木萩桂,pc001143
弘前大円寺五重之塔,pc002424-0001
（陸奥浅虫温泉名所）　付近浅所村松島の景　Asamushi Mutsu,pc002045-0001
"八戸鮫港全景（扇ヶ浦）　（NO.1）～（NO.3）　VIEW OF SAME PORT, HACHINOHE.　",pc010386
"八戸鮫港蕪島ノ夕照　VIEW OF KABURA ISLAND, HACHINOHE.",pc001067-0001
（三戸風景其一）旧城内ヨリ?田ヲ望ム　Scenery of Celebrated at Sannohe Mutsu.,pc000256
雪中行軍遭難地ヨリ死体運搬ノ光景　田茂木野村捜索隊本部,pc000737-0001
大畑烏賊製造場ノ景,pc020354-0001
"恐山三途川大鼓橋之景　TAIKO BRIDGE AT SANZU RIVER, OSOREZAN.",pc010171-0001
川内橋景（NO1）・（NO2）　KAWAUCHI BRIDGE.,pc002756-0001
陸奥川内安部城鉱山全景,pc000024
（陸奥）　田名部柳町通り,pc002793-0001
（陸奥大畑）薬研温泉場釜の沢,pc021047-0001
鉄道院指定青森かぎや旅館　（寝室）,pc003048
青森県庁,pc001044
青森市米町通り雪景,pc003145
青森公園相生の松　（9）,pc000603-0001
青森県庁　THE OFFICE OF THE AOMORI PREFECTURE.,pc000902
（津軽風俗）　ねぶた,pc003010-0001
浜町四丁目　YOCHOME HAMACHO AOMORI,pc010462
青森県庁通り,pc002854
青森柳原遊廓の内,pc020167
八戸港鮫蕪島の鴎　（学名海岸…天然記念物）,pc000900
（青森県西海岸風景）　大戸瀬村大字関の有名なる甕杉　（一名千年杉高さ十二丈周囲三丈）　其の下の碑は今より六百年前暦慶年間阿部将軍一族の碑,pc003154
"SEA-GULLS ON KABU-ISLE, HACHINOHE　（八戸名所）鮫蕪島の鴎（海猫……天然記念物）",pc002544-0001
地蔵島の灯台　（多聞山代ヶ崎の付近にして塩釜湾の咽喉なり）,pc010902
(盛岡)　報恩時五百羅漢,pc002672
小坂鉱山全景　(其一)(其二),pc010377-0001
"由利郡下川大内村岩瀬滝　IWASE FALL, SHIMOOUCHI, YURIGUN.",pc010850
"本荘由利橋　YURI BRIDGE, HONSHO.",pc000309
秋田美人　仲吉田家花子,pc010428
(秋田名産)　蕗ト美人　THE PITASITES AND BEAUTY AT AKITA,pc010098-0001
秋田県　蕗と美人,pc001358
(秋田県湯沢町風景)　郷社神明社,pc010225-0001
秋田南秋藤倉の女夫石,pc010076
秋田県庁,pc020083
(羽後)　横手四日町通,pc002124
秋田みさご島　三,pc010457-0001
(秋田県公園内)　招魂社前,pc001394
平田篤胤之奥墓　南秋虻野にあり,pc002295-0001
秋田千秋公園入口,pc000201
秋田市四丁目川岸　THE BANK OF YOCHOMEGASHI IN AKITA.,pc002110-0001
千秋公園桜花　〔其の二〕,pc000686-0001
(秋田)　千秋公園内西の隅,pc001083
(秋田名所)　四丁端の夏流,pc010147-0001
(秋田)　千秋公園西の隅みらｃぇ,pc000428-0001
"本荘女子尋常高等小学校　The Honjo Common Girls School, Akita.",pc001042-0001
(荘内風景)　清川付近最上川ノ景,pc000709
日本三急流ノ一最上川要の松渡場　A FERRY OF KANAME MOGAMI RIVER.,pc002840-0001
涼しや行く先々へ最上川　日本三急流ノ一最上川古口辺の絶景,pc001037-0001
(最上郡名所)　及位落合滝(其二),pc002231-0001
鳥海山　箸王子神社　HASHIOJI SHRINE AT MT.CHOKAI.,pc002635-0001
羽後湯野浜温泉場より鳥海山遠望,pc020282-0001
鳥海山御田ケ原ヨリ山上ヲ望ム　VIEW OF MT.CHOKAI,pc002598-0001
"鳥海山頂新山切リ通シの奇観　NARROW PASSAYE AT SHINZAN, MT.CHOKAI",pc000004-0001
(出羽の富士)　鳥海山の遠望,pc001231
鳥海山　大沢赤滝　FALL AT.MT.CHOKAI.,pc010500-0001
羽前上ノ山温泉場市街,pc000806
(山形県)　赤湯町公園全景,pc010343
(山形県)　赤湯温泉場　白滝湖ノ遊舟,pc000674-0001
羽前藤島街道松の木茶屋,pc002107-0001
(荘内風景)　羽後松嶺付近,pc002042-0001
羽前鶴岡　伊呂波楼　可祝,pc000683-0001
羽前鶴岡公園ヨリ中学校ヲ望ム　,pc000520
鶴岡公園外堀稲荷神社　INARI JINSHA TSURUOKA PARK,pc002270-0001
鶴岡菅原橋ヨリ金峰山ヲ望,pc010101-0001
"羽前国西郷村善宝寺龍王殿　RYUODEN OF ZENPOJI TEMPLE, UZEN.",pc002220-0001
酒田市街全景　(一)　SAKATA STREET.,pc002566-0001
(酒田名所)　長坂松林　PINE FOREST NAGASAKA SAKATA.,pc002431-0001
別格官幣上杉神社　（米沢市松ヶ岬公園内）　袋織財布製造元　登坂栄信　米沢市西土手ノ内,pc002151-0001
(新庄)芭蕉塚芭蕉翁之碑　MONUMEN OF BASHO.,pc000545
[光丘文庫寄贈者　正五位勳四等本間光弥大人],pc000597-0001
[東宮殿下 行啓記念],pc002211-0001
最上德内先生,pc000409-0001
(福島名所)　信夫文字摺観世音境内記念碑 View of Shinobumochisuri in Fkushima,pc002493-0001
（岩代飯坂ラヂウム温泉）　空海創建左場野薬師前の杉並木と医王寺の門口,pc000908
岩代飯坂温泉場　摺上川上流ヨリ見タル滝の湯ノ一部,pc000730
福島郵便局電話開始紀念　福島郵便局の図　,pc003058-0001
福島県湯野穴原温泉全景,pc001233
岩代飯坂十網橋下流ヨリ愛宕山ヲ望ム景　THE ATAGOYAMA FROM GERHU OF TOAMIBASHI,pc000542-0001
共進会正門　福島県師範学校,pc010664
共進会逢隈川畔　教育展覧会場　,pc002782
福島郵便局電話開始紀念　福島共同荷造所作業場,pc000515
勿來植桜記　吉村夙鶯貲　田鶴年刻　（山頂新建の紀念碑）　碑面　長サ十一尺　巾　六尺ノ仙台石,pc000982-0001
(会津名蹟)　飯坂山白虎隊の墳墓,pc010471-0001
(会津)　東山温泉内湯旅館不動湯,pc001147
"（十和田湖）　十和田神社　TOWADA SHRINE, TOWADA LAKE",pc002768-0001
秋田　平田篤胤先生の墳墓,pc003115
(秋田市)　公会堂,pc000425-0001
秋田市　千秋園の花,pc003000-0001
(秋田蕗),pc002659-0001
愛国婦人会総裁　閑院宮妃殿下　愛国婦人会秋田支部第一回総会紀念,pc010827
(秋田県小坂鉱山)　工作課及機械課全景,pc002678
秋田男鹿名所小浜ヨリ帆掛島ヲ望ム,pc010326-0001
秋田公園内湖月亭前濠　DITCH BBFORE KOGETSUTEI OF AKITA PARK.　,pc000873-0001
(盛岡)　高松ノ池ヨリ岩手山ヲ望ム,pc001032-0001
(盛岡名所)　高松ノ池ヨリ岩手山ヲ望ム,pc020382-0001
"盛岡名所北上川ヨリ岩手山ヲ望ム　VIEW OF MT.YUWATE FROM KITAKAMIKAWA, MORIOKA.",pc021055
夏の盛岡　北上川中津河口付近,pc001516-0001
(岩手県盛岡)　岩手公園石割桜,pc001279-0001
(盛岡美人)　本街　三七　千代菊　駒龍,pc020023-0001
(盛岡名所)　福聚山大慈寺原氏墓地ト本堂,pc002185
株式会社盛岡銀行　Morioka Ginko,pc002747
"株式会社盛岡銀行 Morioka Ban, Ltd.",pc001442-0001
(磐城名所)　勿来海水浴場　THE VIEW OF SEA-DATHING NAKOSO IWAKI.,pc000946
磐城平町公園内東宮御覧之松　Pine Celebrated in Park of Taira Iwaki.,pc010421
[松島],pc002105-0001
（塩釜神社）　日時計　林子平先生之作　（SHIOGAMA）,pc001209
"松島ホテル楼上の眺望　（其五）　A View of Matsushima from Matsushima Hotel, No5",pc002648-0001
仙台対橋楼さんさしぐれ踊り,pc002061-0001
（松島百景）　地蔵堂ヨリ二千島ヲ望,pc020090
（松島）　材木島　ZAIMOKU-ISLAND AT MATSUSHIMA （）,pc010853
（松島）　材木島　表面　FACE VIEW OF ZAIMOKU-ISLAND AT MATSUSHIMA,pc000771
松島弘法島の景,pc021014-0001
松島不老島,pc002074-0001
（松島名勝）　経ヶ島　VIEW OF MATSUSHIMA　のりの　花咲く　五重塔を　みるも　たふとく　経ヶ島,pc000759-0001
（松島名所）　烏帽子■　Matsushima,pc020002-0001
（松島名勝）　五大島　View of Matsushima.,pc002453-0001
（松島名勝）　千貫島　VIEW OF MATSUSHIMA,pc001413
開業御案内　ニユーパークホテル　OPENING ANNOUNCEMENT OF NEW PARK HOTEL MATUSIMA,pc020191-0001
Matsushima　（Pine-clad Isles）[松島],pc000605-0001
(松島名所)　観欄亭　Matsushima Japan,pc002008-0001
（松島名勝）　不老山　VIRW OF MATSUSHIMA,pc002540-0001
（仙台名勝）　烈女三沢氏初子ノ墓　（劇名政岡）　SENDAI MASAOKANOHAKA,pc010094-0001
（仙台）　天主台の昭忠碑　（旧青葉城御本丸）　View of Sendai,pc010348-0001
仙台駅前　TSK　東北昭和毛織工業社,pc002558-0001
岩代信夫庭坂高湯温泉不動滝の真景,pc001410
金色堂本尊ノ正面,pc002287
中尊寺金色堂　KONJIKIPLACE CHUZONJI.,pc010808
経蔵内須弥壇,pc010297
陸中平泉中尊寺金色堂,pc002806-0001
陸中国中尊寺　新築ノ中尊寺本堂,pc002347
